date,alignment,n_gates,spot_price,forward_ret_7d,forward_ret_30d,forward_vol_7d,forward_dd_7d,regime_alignment
2026-03-30 00:00:00+00:00,0.22434348962645453,9,66797.37,3.0783996435787886,,4.008276459247543,-2.02460354095102,TRANSITION
2026-03-31 00:00:00+00:00,0.2104169315311788,9,68284.48,5.3302595260299235,,5.508340510894656,-2.02460354095102,TRANSITION
2026-04-01 00:00:00+00:00,0.25444921026016126,9,68113.92,4.339803082835347,,5.782559225102473,-1.779269200774225,TRANSITION
2026-04-02 00:00:00+00:00,0.28290016539645163,9,66901.99,7.30319083184221,,5.054203966933705,-1.1877640105099618,TRANSITION
2026-04-03 00:00:00+00:00,0.29921081844579633,9,66964.3,8.957608755710122,,4.956044061552832,-1.1877640105099618,TRANSITION
2026-04-04 00:00:00+00:00,0.3038864074606784,9,67300.42,8.53299281044606,,5.039589883801952,-1.1877640105099618,TRANSITION
2026-04-05 00:00:00+00:00,0.25499565154536585,9,69034.18,2.4723984553738587,,6.301300471066838,-3.151807780495819,TRANSITION
2026-04-06 00:00:00+00:00,0.25436586886257584,9,68853.66,8.081385942301388,,7.837104324581004,-3.151807780495819,TRANSITION
2026-04-07 00:00:00+00:00,0.28581049857135754,9,71924.22,3.0689661980345395,,6.893389401707328,-3.151807780495819,TRANSITION
2026-04-08 00:00:00+00:00,0.32661386021476396,9,71069.93,5.262506942106193,,6.621824873279407,-3.151807780495819,TRANSITION
2026-04-09 00:00:00+00:00,0.35427389720765656,9,71787.97,4.689253645144165,,6.620596640689653,-3.151807780495819,UNSTABLE
2026-04-10 00:00:00+00:00,0.36191360714267234,9,72962.7,5.632055831267224,,6.834148502105168,-3.151807780495819,UNSTABLE
2026-04-11 00:00:00+00:00,0.3673634283437485,9,73043.16,3.6260753231377008,,7.310394117019747,-3.151807780495819,UNSTABLE
2026-04-12 00:00:00+00:00,0.3476256404419477,9,70740.98,5.9734965503729365,,6.272453245490422,-2.731614594145726,TRANSITION
2026-04-13 00:00:00+00:00,0.37652565556848766,9,74417.99,,,,-2.731614594145726,UNSTABLE
2026-04-14 00:00:00+00:00,0.3592297991932845,9,74131.55,,,,-2.731614594145726,UNSTABLE
2026-04-15 00:00:00+00:00,0.354469187561095,9,74809.99,,,,-2.731614594145726,UNSTABLE
