g1_taker.taker_z_4h_min,g2_oi_bipolar.oi_z_1h_min,g2_oi_bipolar.oi_z_24h_block,filters.rsi_min,filters.rsi_max,n_trades,sharpe,win_rate,avg_return,total_return,max_dd,profit_factor
0.3,-0.5,3.0,60,85,45,0.2127540783784239,37.77777777777778,0.025955363382140165,1.0000337299660655,-4.905740755887667,1.0832168152624633
-0.5,0.3,2.5,50,85,54,0.2110438664634524,40.74074074074074,0.025520310994074157,1.181147845933772,-5.868789706299656,1.0810967870852617
-0.5,0.3,2.0,55,85,38,0.18824699504480122,39.473684210526315,0.022926769125385098,0.7283491409925347,-2.2312091348407614,1.0726342188175741
-0.5,0.3,2.5,50,80,54,0.1853194571464635,40.74074074074074,0.022489799727827168,1.0142426808041671,-5.868789706299656,1.0707849545995016
-0.5,0.3,2.0,55,80,38,0.15212772092135302,39.473684210526315,0.01862025311545516,0.5621908980340207,-2.3924853857162263,1.0581967551603793
0.3,0.3,3.0,55,85,36,0.14873459363412267,38.88888888888889,0.017189565021148673,0.49588849868225093,-3.1994456628365286,1.0560792903390026
0.0,0.0,3.0,50,80,58,0.13668669709857134,41.37931034482759,0.01568994376672489,0.7151541755842095,-6.445185172581633,1.0501934860625546
-0.5,0.0,3.0,50,80,67,0.12938042566330746,40.298507462686565,0.014981271634550639,0.774687299315513,-6.859499932889039,1.0474424176415424
0.0,-0.5,3.0,60,80,51,0.11718320439269683,41.17647058823529,0.013615814133523743,0.518026196881971,-4.305261397209101,1.0453839736810855
0.3,0.3,3.0,55,80,36,0.10876983586485016,38.88888888888889,0.012643798121778188,0.33011371531788125,-3.1994456628365286,1.040646375490185
0.0,-0.5,2.5,60,80,47,0.09874289625170167,40.42553191489361,0.011708389191136415,0.38052601420581755,-3.4962800327247328,1.0385161445192532
0.0,0.0,3.0,50,85,58,0.0882618156240839,41.37931034482759,0.010060832058998773,0.3896848517758622,-6.445185172581633,1.0324786316723062
-0.5,0.0,3.0,50,85,67,0.08781685461153978,40.298507462686565,0.010108309260698178,0.44902558930985936,-6.859499932889039,1.0322603388279763
0.0,0.3,2.0,55,85,32,0.08227622400949369,37.5,0.009778145233043637,0.1964718739011495,-2.12057594271116,1.0310771930695755
0.3,0.3,2.0,55,85,28,0.08167472469331148,35.714285714285715,0.010312391299142066,0.17372574115646078,-2.4801349281995595,1.0305292759500413
0.3,0.0,3.0,55,80,41,0.07464727830292615,39.02439024390244,0.008297668710343759,0.20959120663988084,-3.7081560176489767,1.0276125275398162
0.0,0.3,2.0,55,80,32,0.039006602111002535,37.5,0.00466415747125184,0.03119099856476737,-2.2820346905398097,1.0145866809296231
