config,entry_ts,exit_ts,entry_price,exit_price,exit_reason,return_pct,hold_hours,close_ma21_ratio,volume_z
v1,2026-04-03 17:00:00+00:00,2026-04-04 14:00:00+00:00,80.2,79.65539999999999,TRAIL,-0.6790523690773277,21.0,1.0071520834330001,-0.5496313302908279
v1,2026-04-05 23:00:00+00:00,2026-04-06 06:00:00+00:00,81.89,81.5859,TRAIL,-0.3713518134082371,7.0,1.0247229174115124,1.4442020731268472
v1,2026-04-06 10:00:00+00:00,2026-04-06 14:00:00+00:00,82.68,81.8532,TRAIL,-1.0000000000000069,4.0,1.0193504450132682,-0.06877650010233752
v1,2026-04-07 21:00:00+00:00,2026-04-07 22:00:00+00:00,82.91,84.5682,TP,2.0000000000000098,1.0,1.0376597215600265,1.1261753495529254
v1,2026-04-09 15:00:00+00:00,2026-04-09 17:00:00+00:00,83.75,83.8035,TRAIL,0.06388059701492496,2.0,1.015403534499183,1.975229967095919
v1,2026-04-10 13:00:00+00:00,2026-04-10 14:00:00+00:00,84.27,84.22919999999999,TRAIL,-0.04841580633677987,1.0,1.008066032093238,0.2723717750975051
v1,2026-04-10 18:00:00+00:00,2026-04-11 00:00:00+00:00,85.21,84.5955,TRAIL,-0.7211594883229581,6.0,1.0175427622600308,-0.573060426607403
v1,2026-04-11 18:00:00+00:00,2026-04-11 20:00:00+00:00,85.48,85.1499,TRAIL,-0.38617220402433505,2.0,1.0114608336995843,0.6584974288729825
v1,2026-04-13 13:00:00+00:00,2026-04-13 14:00:00+00:00,83.6,82.9323,TRAIL,-0.7986842105263116,1.0,1.0175385721075265,1.442820501256606
v1,2026-04-13 19:00:00+00:00,2026-04-13 22:00:00+00:00,84.09,85.7718,TP,1.9999999999999944,3.0,1.0197318273161944,0.8522878969378231
v1,2026-04-16 15:00:00+00:00,2026-04-16 16:00:00+00:00,86.62,85.7538,TRAIL,-1.000000000000007,1.0,1.0167860077473885,4.367927317694211
v2_central,2025-11-05 16:00:00+00:00,2025-11-05 21:00:00+00:00,161.83,161.50859999999997,TRAIL,-0.19860347278010237,5.0,1.0339473964434034,0.06979413559119678
v2_central,2025-11-07 18:00:00+00:00,2025-11-07 19:00:00+00:00,162.11,162.52829999999997,TRAIL,0.2580346678181232,1.0,1.0368814761118659,0.11213235911928573
v2_central,2025-11-24 18:00:00+00:00,2025-11-24 20:00:00+00:00,137.41,137.60999999999999,TRAIL,0.14554981442397835,2.0,1.0430355496918544,0.0726000533139602
v2_central,2025-11-26 19:00:00+00:00,2025-11-26 20:00:00+00:00,143.99,142.55010000000001,TRAIL,-0.999999999999996,1.0,1.038207594137016,0.16779558047177412
v2_central,2025-12-03 05:00:00+00:00,2025-12-03 08:00:00+00:00,143.06,141.6294,TRAIL,-0.9999999999999988,3.0,1.0461353102790265,0.47685022636831925
v2_central,2026-02-06 23:00:00+00:00,2026-02-07 00:00:00+00:00,87.46,86.58539999999999,TRAIL,-1.000000000000001,1.0,1.049939975990396,0.23488890491377643
v2_central,2026-02-25 05:00:00+00:00,2026-02-25 10:00:00+00:00,81.3,82.926,TP,2.0000000000000058,5.0,1.0321562653027911,0.3501721603649113
v2_central,2026-02-28 21:00:00+00:00,2026-03-01 01:00:00+00:00,84.49,86.1798,TP,2.000000000000006,4.0,1.045668316831683,0.12611177176871174
v2_central,2026-03-23 18:00:00+00:00,2026-03-24 00:00:00+00:00,91.62,90.8721,TRAIL,-0.8163064833005909,6.0,1.041863638578878,0.28425978108624755
